Datum,URL,Umfang,Methode,Partei,Anteil
2017-02-23,DIMAP,1047,"",CDU/CSU,31.0
2017-02-25,EMNID,1880,"",CDU/CSU,32.0
2017-03-01,FORSA,2500,"",CDU/CSU,33.0
2017-03-04,EMNID,1403,"",CDU/CSU,33.0
2017-03-08,FORSA,2502,"",CDU/CSU,33.0
2017-03-09,DIMAP,1502,"",CDU/CSU,32.0
2017-03-11,EMNID,1882,"",CDU/CSU,33.0
2017-03-15,FORSA,2505,"",CDU/CSU,33.0
2017-03-18,EMNID,1832,"",CDU/CSU,33.0
2017-03-22,FORSA,2504,"",CDU/CSU,34.0
2017-03-23,DIMAP,1023,"",CDU/CSU,32.0
2017-03-25,EMNID,2450,"",CDU/CSU,33.0
2017-03-29,FORSA,2501,"",CDU/CSU,34.0
2017-04-01,EMNID,2416,"",CDU/CSU,33.0
2017-04-04,FORSA,2504,"",CDU/CSU,36.0
2017-04-08,EMNID,1958,"",CDU/CSU,35.0
2017-04-11,FORSA,2502,"",CDU/CSU,36.0
2017-04-13,DIMAP,1502,"",CDU/CSU,34.0
2017-04-15,EMNID,2436,"",CDU/CSU,35.0
2017-04-19,FORSA,2007,"",CDU/CSU,36.0
2017-04-20,DIMAP,934,"",CDU/CSU,35.0
2017-04-22,EMNID,1412,"",CDU/CSU,36.0
2017-04-26,FORSA,2002,"",CDU/CSU,36.0
2017-04-29,EMNID,2439,"",CDU/CSU,36.0
2017-05-03,FORSA,2502,"",CDU/CSU,36.0
2017-05-05,YOUGOV,1957,O,CDU/CSU,35.0
2017-05-06,EMNID,1935,"",CDU/CSU,36.0
2017-05-10,FORSA,2004,"",CDU/CSU,36.0
2017-05-11,DIMAP,1500,"",CDU/CSU,37.0
2017-05-12,YOUGOV,2010,O,CDU/CSU,37.0
2017-05-13,EMNID,1837,"",CDU/CSU,37.0
2017-05-17,FORSA,2506,"",CDU/CSU,38.0
2017-05-18,DIMAP,1017,"",CDU/CSU,38.0
2017-05-19,YOUGOV,2000,O,CDU/CSU,38.0
2017-05-20,EMNID,2413,"",CDU/CSU,38.0
2017-05-23,FORSA,2502,"",CDU/CSU,39.0
2017-05-27,EMNID,1703,"",CDU/CSU,38.0
2017-05-31,FORSA,2001,"",CDU/CSU,38.0
2017-06-02,YOUGOV,2040,O,CDU/CSU,37.0
2017-06-03,EMNID,1838,"",CDU/CSU,38.0
2017-06-07,FORSA,2501,"",CDU/CSU,39.0
2017-06-08,DIMAP,1503,"",CDU/CSU,38.0
2017-06-10,EMNID,1398,"",CDU/CSU,39.0
2017-06-13,FORSA,2004,"",CDU/CSU,38.0
2017-06-15,DIMAP,1018,"",CDU/CSU,39.0
